id,style,keywords,best_for,avoid_for,palette_bias,type_bias,effects,motion,perf,a11y_notes,signature_moment,motion_priority
premium-minimal,Premium Minimal,"premium,minimal,luxury,restrained,clean,expensive,understated,elegant","SaaS marketing,agency,portfolio,fintech,high-ticket product","data-dense dashboards,children products,discount retail",neutral,geometric-sans-display,"hairline borders,subtle elevation,generous section padding,single accent","few and fast: 150-300ms UI, one 600-900ms hero sequence",excellent,"Large type helps AA; verify the single accent against background","One staggered headline reveal","motion,css-native,gsap"
editorial,Editorial,"editorial,magazine,serif,longform,publication,journal,typographic","blogs,news,long-form content,brand storytelling,portfolios","dashboards,dense forms,transactional apps",warm-neutral,serif-display,"asymmetric grid,drop caps,pull quotes,generous measure","minimal; text should not move while reading",excellent,"Measure 60-75ch aids readability; do not justify text",Asymmetric hero with a large serif headline,"css-native,view-transitions,motion"
dark-technical,Dark Technical,"dark,technical,developer,terminal,code,engineering,cyber","developer tools,infra dashboards,API products,security","children,healthcare,print-first,bright retail",dark-neutral,geometric-sans-mono,"hairline borders,monospace accents,subtle glow,grid overlays","precise and short: 120-200ms",excellent,"Pure #000 causes halation - use near-black; verify glow does not lower contrast",A monospace typing or scramble reveal,"motion,css-native,gsap"
bento-grid,Bento Grid,"bento,grid,modular,tiles,cards,asymmetric,feature showcase","feature showcases,product pages,dashboards,portfolios","long-form reading,simple single-message landing",neutral,geometric-sans,"varied column spans,rounded-2xl,subtle shadow,hover lift 1.02","hover lift and stagger-in on scroll",excellent,"Ensure tile order matches DOM order for screen readers",Staggered tile entrance on scroll,"motion,autoanimate,css-native"
glassmorphism,Glassmorphism,"glass,frosted,blur,translucent,depth,layered,vision","overlays,media-rich apps,music,creative tools,modals","text-heavy pages,low-end devices,strict a11y contexts",vivid-gradient,geometric-sans,"backdrop-filter blur,translucent fills,thin light borders","gentle parallax of the backdrop",fair,"HIGH RISK: contrast fails easily over variable backdrops - verify against the rendered result",Layered frosted panel over a gradient,"css-native,motion"
neumorphism,Neumorphism,"neumorphic,soft ui,extruded,tactile,embossed,skeuomorph-lite","calculators,music controls,niche playful UI,smart-home","content sites,accessibility-critical products,data tables",monochrome-soft,rounded-sans,"dual inner/outer shadows,low contrast surfaces,rounded corners","press-in on active state",good,"HIGH RISK: inherently low contrast - borders or text must still hit AA",Tactile press-in control,"css-native,motion"
brutalism,Neo-Brutalism,"brutalist,raw,bold,harsh,punk,unpolished,high-contrast","creative portfolios,music,events,statement brands,dev tools","enterprise,healthcare,finance,trust-critical products",high-contrast,grotesque-sans,"thick black borders,hard offset shadows,flat fills,deliberate misalignment","abrupt, no easing; instant state changes",excellent,"Contrast is usually excellent; ensure focus rings survive the heavy borders",Hard-offset shadow on hover,"css-native,view-transitions"
swiss,Swiss / International,"swiss,international,grid,helvetica,rational,systematic,modernist","design systems,agencies,museums,documentation,corporate","playful consumer apps,children",neutral,grotesque-sans,"strict 12-col grid,rules and hairlines,flush-left ragged-right","almost none; the grid does the work",excellent,"Strong hierarchy aids screen readers when heading levels match visual scale",A precise grid reveal,"css-native,view-transitions,motion"
soft-organic,Soft Organic,"soft,organic,rounded,friendly,pastel,approachable,wellness","wellness,health,education,family,community,non-profit","enterprise security,developer tools,finance",soft-pastel,rounded-sans,"large radii,blob shapes,soft shadows,gentle gradients","slow and eased: 300-500ms",good,"Pastels frequently fail AA on white - darken text, not the pastel",A blob morph behind the hero,"motion,gsap,css-native"
data-dense,Data Dense,"dashboard,data,analytics,table,admin,enterprise,operational","admin panels,analytics,internal tools,trading,ops","marketing landing pages,storytelling",cool-neutral,compact-sans,"compact spacing scale,zebra rows,sticky headers,tabular numerals","near-zero; motion slows operators down",excellent,"Use tabular-nums; never encode meaning in color alone - pair with icon or label",Sticky header with inline sparklines,"css-native,autoanimate"
flat-modern,Flat Modern,"flat,modern,simple,material,clean,utility,straightforward","general web apps,MVPs,internal tools,broad-audience products","luxury positioning,statement brands",bright-neutral,humanist-sans,"solid fills,minimal shadow,clear affordances,consistent radii","standard 200ms transitions",excellent,"Flat removes affordance cues - keep focus and hover states obvious",Clear primary-action emphasis,"css-native,motion,autoanimate"
retro-future,Retro Future,"retro,futuristic,synthwave,neon,80s,vaporwave,gradient","music,gaming,events,creative launches,web3","enterprise,healthcare,accessibility-critical",neon-dark,display-sans,"neon glow,scanlines,chromatic gradients,grid horizon","looping ambient motion",fair,"Neon on dark often fails AA - verify; glow is not a contrast substitute",A neon grid horizon,"gsap,r3f,motion"
high-contrast-a11y,High Contrast Accessible,"accessible,high contrast,wcag,inclusive,readable,aaa,low vision","government,healthcare,education,public services,forms","spectacle-driven marketing",high-contrast,humanist-sans,"strong borders,large hit areas,clear focus rings,no reliance on color","minimal, always reduced-motion safe",excellent,"Target AAA (7:1) body text; 44px minimum targets; visible focus everywhere",A visibly obvious focus state,"css-native,view-transitions"
